NASDAQ,GDP,CPI,UNRATE,FEDFUNDS,INDPRO,RSAFS,HOUST,DGS3MO,DGS10,T10Y2Y,VIX
1.0,0.6464007138534423,0.5114692250937284,-0.3185923149509466,-0.0510947692453338,0.2654720886891256,0.7335397096457776,0.024788085597458185,-0.11952649787067537,-0.2251886903540099,-0.371285745270095,-0.07127453705124848
0.6464007138534423,1.0,0.9762036327361703,-0.17266126807372734,-0.5095051978585758,0.8745451880555072,0.9791434163656384,-0.28412584443143385,-0.7588011951350894,-0.639521668441945,0.006882488737898979,0.08848107852686075
0.5114692250937284,0.9762036327361703,1.0,-0.07634670029831099,-0.5115653774975709,0.9424160067602533,0.914771633462457,-0.3250308754653177,-0.8661589254523353,-0.599252497451364,0.09328265146084883,0.12120386758804526
-0.3185923149509466,-0.17266126807372734,-0.07634670029831099,1.0,-0.025118433792611774,-0.07572703636899804,-0.24569312581485306,-0.40168684397735327,-0.13176373120755902,0.19584212939359227,0.49770755238570463,0.18074693225296948
-0.0510947692453338,-0.5095051978585758,-0.5115653774975709,-0.025118433792611774,1.0,-0.4951451551215613,-0.486942892137596,0.2730386890778677,0.6304564640604865,0.8996322088279546,-0.5947993512153126,-0.1569113183858133
0.2654720886891256,0.8745451880555072,0.9424160067602533,-0.07572703636899804,-0.4951451551215613,1.0,0.7823062822988976,-0.2650496989589945,-0.9002317307740749,-0.5738015108273213,0.15457638827328687,0.128212731610768
0.7335397096457776,0.9791434163656384,0.914771633462457,-0.24569312581485306,-0.486942892137596,0.7823062822988976,1.0,-0.22358606173741127,-0.6314873539831409,-0.6477001156323196,-0.06855751159380978,0.053474910659149964
0.024788085597458185,-0.28412584443143385,-0.3250308754653177,-0.40168684397735327,0.2730386890778677,-0.2650496989589945,-0.22358606173741127,1.0,0.36216803673904296,0.2630247851846208,-0.34842707110973764,-0.20398704509726417
-0.11952649787067537,-0.7588011951350894,-0.8661589254523353,-0.13176373120755902,0.6304564640604865,-0.9002317307740749,-0.6314873539831409,0.36216803673904296,1.0,0.5784667325091003,-0.42735037486308863,-0.18531267865125978
-0.2251886903540099,-0.639521668441945,-0.599252497451364,0.19584212939359227,0.8996322088279546,-0.5738015108273213,-0.6477001156323196,0.2630247851846208,0.5784667325091003,1.0,-0.31574850162012214,-0.13783270880213933
-0.371285745270095,0.006882488737898979,0.09328265146084883,0.49770755238570463,-0.5947993512153126,0.15457638827328687,-0.06855751159380978,-0.34842707110973764,-0.42735037486308863,-0.31574850162012214,1.0,0.1679665600448166
-0.07127453705124848,0.08848107852686075,0.12120386758804526,0.18074693225296948,-0.1569113183858133,0.128212731610768,0.053474910659149964,-0.20398704509726417,-0.18531267865125978,-0.13783270880213933,0.1679665600448166,1.0
